IBGE,LEITO.SUS_CIRÚRGICOS,LEITO.SUS_CLÍNICOS,LEITO.SUS_GINECO-OBSTÉTRICOS,LEITO.SUS_ISOLAMENTO,LEITO.SUS_OUTRAS ESPECIALIDADES (EXCETO COMPLEMENTARES),LEITO.SUS_PEDIÁTRICOS,LEITO.SUS_UCI,LEITO.SUS_UTI,EXSITENTE_CIRÚRGICOS,EXSITENTE_CLÍNICOS,EXSITENTE_GINECO-OBSTÉTRICOS,EXSITENTE_ISOLAMENTO,EXSITENTE_OUTRAS ESPECIALIDADES (EXCETO COMPLEMENTARES),EXSITENTE_PEDIÁTRICOS,EXSITENTE_UCI,EXSITENTE_UTI,Médico,Enfermeiro,Odontólogo,Out Prof Saude Sup,Tec Aux Enfermagem,Agente Combate Endemias,Out Tec Saude,QT_USO_Respirador/ventilador,QT_USO_Tomógrafo,QT_EXIST_Respirador/ventilador,QT_EXIST_Tomógrafo,30 dias-adulto_inf,30 dias-adulto_sup,30 dias-pediatrico_inf,30 dias-pediatrico_sup,30 dias-idoso_inf,30 dias-idoso_sup,30 dias-adulto_inf_uti,30 dias-adulto_sup_uti,30 dias-pediatrico_inf_uti,30 dias-pediatrico_sup_uti,30 dias-idoso_inf_uti,30 dias-idoso_sup_uti,60 dias-adulto_inf,60 dias-adulto_sup,60 dias-pediatrico_inf,60 dias-pediatrico_sup,60 dias-idoso_inf,60 dias-idoso_sup,60 dias-adulto_inf_uti,60 dias-adulto_sup_uti,60 dias-pediatrico_inf_uti,60 dias-pediatrico_sup_uti,60 dias-idoso_inf_uti,60 dias-idoso_sup_uti,90 dias-adulto_inf,90 dias-adulto_sup,90 dias-pediatrico_inf,90 dias-pediatrico_sup,90 dias-idoso_inf,90 dias-idoso_sup,90 dias-adulto_inf_uti,90 dias-adulto_sup_uti,90 dias-pediatrico_inf_uti,90 dias-pediatrico_sup_uti,90 dias-idoso_inf_uti,90 dias-idoso_sup_uti,Influenza -Leitos regulares Total_diarias,Influenza -Leitos regulares diarias_uti,Influenza -Leitos regulares diarias_uci,Influenza -UTI adulto Total_diarias,Influenza -UTI adulto diarias_uti,Influenza -UTI adulto diarias_uci,Influenza -UTI infantil-neonatal Total_diarias,Influenza -UTI infantil-neonatal diarias_uti,Influenza -UTI infantil-neonatal diarias_uci,Outras causas -Leitos regulares Total_diarias,Outras causas -Leitos regulares diarias_uti,Outras causas -Leitos regulares diarias_uci,Outras causas -UTI adulto Total_diarias,Outras causas -UTI adulto diarias_uti,Outras causas -UTI adulto diarias_uci,Outras causas -UTI infantil-neonatal Total_diarias,Outras causas -UTI infantil-neonatal diarias_uti,Outras causas -UTI infantil-neonatal diarias_uci
150658,5,10,5,0,0,3,0,0,5,10,5,0,0,3,0,0,"1,45","2,5",1,"1,25","11,75","0,75","2,5",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0,0,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0
150660,7,15,7,0,0,8,0,0,7,15,7,0,0,8,0,0,"3,625","0,75",0,0,"10,5",0,"0,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,0,0,0,0,0,0,0,0,2797,0,0,0,0,0,0,0,0
150670,10,25,16,0,0,12,0,0,10,25,16,0,0,12,0,0,"7,275",4,0,"2,125","29,975",0,3,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,0,0,0,0,0,0,0,0,7372,0,0,0,0,0,0,0,0
150680,148,100,82,3,7,87,10,56,177,106,109,4,7,98,21,56,"176,9","147,525","3,3","117,9","559,625","0,9",32,36,1,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4438,0,0,195,355,0,30,141,0,109382,7,0,7998,6971,0,1395,5280,0
150700,10,41,8,1,0,15,0,0,10,43,8,1,0,15,0,0,2,"1,3",0,"1,5","16,6",0,"2,9",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087,0,0,0,0,0,0,0,0,13462,0,0,0,0,0,0,0,0
150710,4,5,6,0,0,5,0,0,4,5,6,0,0,5,0,0,0,"1,6","3,5",0,"10,125",0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150715,4,9,4,0,0,4,0,0,4,9,4,0,0,4,0,0,"1,775","1,35",0,"2,2",19,1,"1,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,0,0,0,0,0,0,0,0,881,0,0,0,0,0,0,0,0
150720,5,12,6,1,0,8,0,0,5,12,6,1,0,8,0,0,"7,25","6,475",0,"2,15","21,6",1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,0,0,0,0,0,0,0,0,5268,0,0,0,0,0,0,0,0
150730,20,32,23,2,6,10,0,0,22,54,36,2,6,22,0,0,"5,475","7,75",0,"1,875","36,8",0,"0,5",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614,0,0,0,0,0,0,0,0,12793,0,0,0,0,0,0,0,0
150745,8,17,8,0,0,8,0,0,8,17,8,0,0,8,0,0,"2,6","5,25",0,"0,975","18,95",0,"0,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,0,0,0,0,0,0,0,0,3213,0,0,0,0,0,0,0,0
150747,2,11,7,1,0,4,0,0,2,11,7,1,0,4,0,0,"1,5","4,9",0,"3,1","7,6",0,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0
150750,2,8,6,1,0,3,0,0,2,8,6,1,0,3,0,0,"2,35","3,15","1,75","5,5",13,0,"2,15",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0
150760,10,24,8,2,0,12,0,0,10,24,8,2,0,12,0,0,"4,8","4,1",0,"2,5","37,3",0,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,0,0,0,0,0,0,0,0,2983,0,0,0,0,0,0,0,0
150770,1,17,7,0,0,7,0,0,1,17,7,0,0,7,0,0,"2,35","1,5",0,"4,25",22,0,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,0,0,0,0,0,0,0,0,2429,0,0,0,0,0,0,0,0
150775,2,5,1,0,0,3,0,0,2,5,1,0,0,3,0,0,"1,075",3,0,"0,9","7,125",0,"1,3",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0
150780,4,6,3,1,0,2,0,0,4,6,3,1,0,2,0,0,"1,125","3,375",1,"1,875","6,5",11,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,0,0,0,0,0,0,0,0,1269,0,0,0,0,0,0,0,0
150790,9,23,6,1,0,10,0,0,9,23,6,1,0,10,0,0,"2,45",2,0,"0,5",23,0,"2,25",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,0,0,0,0,0,0,0,0,3103,0,0,0,0,0,0,0,0
150795,8,10,12,3,0,10,8,0,8,10,12,3,0,10,8,0,"14,95","34,3",0,"17,65","85,85",0,"9,9",3,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545,0,0,0,0,0,0,0,0,10319,0,0,0,0,0,0,0,0
150797,2,7,8,0,0,4,0,0,2,7,8,0,0,4,0,0,"1,725",10,0,"3,25",13,"9,75",2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0,0,0,0,0,0,0,0,3250,0,0,0,0,0,0,0,0
