IBGE,LEITO.SUS_CIRÚRGICOS,LEITO.SUS_CLÍNICOS,LEITO.SUS_GINECO-OBSTÉTRICOS,LEITO.SUS_ISOLAMENTO,LEITO.SUS_OUTRAS ESPECIALIDADES (EXCETO COMPLEMENTARES),LEITO.SUS_PEDIÁTRICOS,LEITO.SUS_UCI,LEITO.SUS_UTI,EXSITENTE_CIRÚRGICOS,EXSITENTE_CLÍNICOS,EXSITENTE_GINECO-OBSTÉTRICOS,EXSITENTE_ISOLAMENTO,EXSITENTE_OUTRAS ESPECIALIDADES (EXCETO COMPLEMENTARES),EXSITENTE_PEDIÁTRICOS,EXSITENTE_UCI,EXSITENTE_UTI,Médico,Enfermeiro,Odontólogo,Out Prof Saude Sup,Tec Aux Enfermagem,Agente Combate Endemias,Out Tec Saude,QT_USO_Respirador/ventilador,QT_USO_Tomógrafo,QT_EXIST_Respirador/ventilador,QT_EXIST_Tomógrafo,30 dias-adulto_inf,30 dias-adulto_sup,30 dias-pediatrico_inf,30 dias-pediatrico_sup,30 dias-idoso_inf,30 dias-idoso_sup,30 dias-adulto_inf_uti,30 dias-adulto_sup_uti,30 dias-pediatrico_inf_uti,30 dias-pediatrico_sup_uti,30 dias-idoso_inf_uti,30 dias-idoso_sup_uti,60 dias-adulto_inf,60 dias-adulto_sup,60 dias-pediatrico_inf,60 dias-pediatrico_sup,60 dias-idoso_inf,60 dias-idoso_sup,60 dias-adulto_inf_uti,60 dias-adulto_sup_uti,60 dias-pediatrico_inf_uti,60 dias-pediatrico_sup_uti,60 dias-idoso_inf_uti,60 dias-idoso_sup_uti,90 dias-adulto_inf,90 dias-adulto_sup,90 dias-pediatrico_inf,90 dias-pediatrico_sup,90 dias-idoso_inf,90 dias-idoso_sup,90 dias-adulto_inf_uti,90 dias-adulto_sup_uti,90 dias-pediatrico_inf_uti,90 dias-pediatrico_sup_uti,90 dias-idoso_inf_uti,90 dias-idoso_sup_uti,Influenza -Leitos regulares Total_diarias,Influenza -Leitos regulares diarias_uti,Influenza -Leitos regulares diarias_uci,Influenza -UTI adulto Total_diarias,Influenza -UTI adulto diarias_uti,Influenza -UTI adulto diarias_uci,Influenza -UTI infantil-neonatal Total_diarias,Influenza -UTI infantil-neonatal diarias_uti,Influenza -UTI infantil-neonatal diarias_uci,Outras causas -Leitos regulares Total_diarias,Outras causas -Leitos regulares diarias_uti,Outras causas -Leitos regulares diarias_uci,Outras causas -UTI adulto Total_diarias,Outras causas -UTI adulto diarias_uti,Outras causas -UTI adulto diarias_uci,Outras causas -UTI infantil-neonatal Total_diarias,Outras causas -UTI infantil-neonatal diarias_uti,Outras causas -UTI infantil-neonatal diarias_uci
260490,4,6,6,0,0,3,0,0,4,6,6,0,0,3,0,0,7,0,"1,5","1,5","17,35","1,95","1,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0
260500,4,6,6,0,0,4,0,0,4,6,6,0,0,4,0,0,"5,35","5,4",0,"1,8","16,5",0,"2,8",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0
260510,6,15,10,3,0,7,0,0,10,36,21,3,0,9,0,0,"6,65","6,7","2,75","2,85","33,1",0,"2,75",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0
260515,0,20,4,0,0,3,0,0,0,20,4,0,0,3,0,0,"4,9","4,95",0,"1,85","20,15",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0,0,0,0,0,0,0,0,2133,0,0,0,0,0,0,0,0
260520,12,14,15,0,0,10,0,0,16,29,19,0,0,19,0,0,"15,4","4,05",0,"3,2","38,15","0,6","2,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,0,0,0,0,0,0,0,0,1978,0,0,0,0,0,0,0,0
260530,0,19,6,0,0,8,0,0,0,19,6,0,0,8,0,0,"6,15","9,75",0,"2,55","16,95",0,"3,4",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,0,0,0,0,0,0,0,0,1181,0,0,0,0,0,0,0,0
260540,3,5,5,0,0,4,0,0,3,5,5,0,0,4,0,0,"4,4","5,35","0,95","2,5","17,3",0,"1,25",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0
260545,0,7,0,0,1,2,0,0,0,7,0,0,1,2,0,0,4,7,1,4,5,0,4,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0
260550,0,5,0,0,0,2,4,0,0,5,0,0,0,2,4,0,"2,55",2,0,0,"7,75",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260560,4,8,5,0,0,5,0,0,4,8,5,0,0,5,0,0,"4,2","3,45","0,3","0,6","15,15",0,"1,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,0
260570,8,28,17,4,0,8,0,0,8,28,27,4,0,8,0,0,"4,9","7,5",0,2,"31,7",0,"0,75",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,0,0,0,0,0,0,0,0,2302,0,0,0,0,0,0,0,0
260580,0,5,3,0,0,3,0,0,0,5,3,0,0,3,0,0,"3,6","8,15",0,1,"11,4",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0
260590,0,10,8,0,0,5,0,0,0,10,8,0,0,5,0,0,"3,3","3,6",0,"1,2",13,0,"0,3",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0
260600,80,46,61,0,0,21,8,21,113,66,74,0,24,25,8,26,"81,1","110,1","4,45","65,75","357,3",0,"16,35",42,2,49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6068,0,0,220,932,0,0,0,0,35965,0,0,672,3484,0,0,0,0
260610,7,8,4,0,0,5,0,0,7,8,4,0,0,5,0,0,"7,2","1,2","0,75","4,025","21,05",0,"0,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260620,16,26,32,0,0,21,0,0,24,39,48,0,0,27,0,0,"55,4","51,05",0,24,"111,2","2,7","10,05",9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2886,0,0,0,0,0,0,0,0,7929,0,0,0,0,0,0,0,0
260630,0,10,3,1,0,6,0,0,0,10,3,1,0,6,0,0,"6,5","5,3",0,"2,5","13,35",0,"0,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
260640,11,32,7,0,0,6,0,0,11,32,7,0,0,6,0,0,"14,825","11,55",0,11,"51,4","3,55","5,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541,0,0,0,0,0,0,0,0,2450,0,0,0,0,0,0,0,0
260650,3,11,6,0,0,2,0,0,3,11,6,0,0,2,0,0,"5,1","2,4",0,"1,5","12,6",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0
260660,0,13,3,0,0,3,0,0,0,13,3,0,0,3,0,0,"2,975","5,25",0,"2,25","22,5",0,"0,75",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0
260670,0,8,3,0,0,5,0,0,0,8,3,0,0,5,0,0,"4,4",3,"0,25","2,1","4,6",0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0
260680,3,13,0,0,82,0,0,0,3,13,0,0,232,0,0,0,"19,5","22,65",0,"10,95","70,05","5,35","8,175",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,31236,0,0,0,0,0,0,0,0
260690,0,9,3,0,0,4,0,0,0,9,3,0,0,4,0,0,"1,3","2,55","0,5","3,5",10,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0
260700,0,5,6,0,0,2,0,0,0,5,6,0,0,2,0,0,4,"5,2",0,"0,75","18,4",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0
260710,0,2,1,0,0,1,0,0,0,2,1,0,0,1,0,0,"0,9",3,"1,25","2,55","8,4",0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0
260720,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,"25,1","9,575",0,"1,875","34,75",0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2203,0,0,0,0,0,0,0,0
260730,0,27,9,0,4,12,0,0,0,27,9,0,4,12,0,0,"3,9","5,2",0,"0,65","31,3",0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0
260740,0,8,4,0,0,2,0,0,0,8,4,0,0,2,0,0,"0,9","2,7",0,"3,75","9,6",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260750,0,18,2,0,0,1,0,0,0,18,2,0,0,1,0,0,"5,5","9,8","0,2",2,"15,5",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0
260760,0,7,4,0,0,3,0,0,0,7,4,0,0,3,0,0,7,"5,95",0,"3,5","22,75","0,6",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260765,10,15,8,0,0,9,0,0,10,15,8,0,0,9,0,0,"6,6","6,4",0,1,27,0,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0
260770,7,9,4,0,0,5,0,0,7,9,4,0,0,5,0,0,"1,95","2,25","1,25",2,"17,45",0,"1,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0
260775,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"9,4","5,8","0,1","6,4","24,55",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260780,0,6,4,0,0,4,0,0,0,6,4,0,0,4,0,0,"1,2","4,2",0,3,"10,95",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
260790,187,202,79,0,40,43,0,70,216,254,98,0,49,51,0,92,"231,475","207,375","10,35","97,075","698,6","3,825","13,2",112,3,116,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18687,0,0,361,1999,0,3,44,0,75279,0,0,1032,11352,0,290,9737,0
260795,10,10,7,0,0,5,0,0,10,10,7,0,0,5,0,0,"3,1","4,8",0,"1,6","8,4",0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
260800,0,6,4,0,0,3,0,0,0,6,4,0,0,3,0,0,"6,55","4,2",1,"1,8","4,8","1,8",2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,0,0,0,0,0,0,0,0,1418,0,0,0,0,0,0,0,0
260805,4,9,4,0,0,6,0,0,4,9,4,0,0,6,0,0,"7,45","8,1","0,8","5,55","22,4","0,75","1,8",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0
260810,0,11,7,0,0,5,0,0,0,11,7,0,0,5,0,0,"7,55","4,35",0,"0,35","17,3",0,"1,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,0,0,0,0,0,0,0,0,781,0,0,0,0,0,0,0,0
260820,0,8,4,0,0,2,0,0,0,8,4,0,0,2,0,0,"0,6","4,2",0,"1,65","14,2",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260825,0,4,1,0,0,1,0,0,0,4,1,0,0,1,0,0,1,"2,7",1,"0,95",2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260830,0,6,2,0,0,1,0,0,0,6,2,0,0,1,0,0,"3,2","3,6",0,"1,8","10,45",0,"0,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0
260840,0,10,4,0,0,4,0,0,0,10,4,0,0,4,0,0,"3,6","6,9",0,"0,9","7,6",0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,0,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0
260845,2,6,3,0,0,2,0,0,2,6,3,0,0,2,0,0,3,"4,6",0,"1,25","15,95",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0
260850,2,10,6,0,0,2,0,0,2,10,6,0,0,2,0,0,"4,35","5,3","0,6","1,1",20,0,"0,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0
260860,8,9,4,0,1,4,0,0,8,9,4,0,1,4,0,0,"5,2","6,6",0,"2,05",17,1,"1,2",2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,0,0,0,0,0,0,0,0,1467,0,0,0,0,0,0,0,0
260870,4,6,4,0,0,3,0,0,4,6,4,0,0,3,0,0,"2,1","4,2",0,"0,5","10,95",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260875,0,13,10,0,0,4,0,0,0,13,10,0,0,4,0,0,"6,3","6,95",0,"4,55","23,45","0,6","0,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,0,0,0,0,0,0,0,0,1741,0,0,0,0,0,0,0,0
260880,0,12,5,0,0,4,0,0,0,12,5,0,0,4,0,0,7,"5,2","0,6",4,"24,6",0,"1,6",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0
260890,16,26,16,0,20,13,0,10,33,30,22,0,20,13,0,20,"42,375","40,2","4,8",17,"147,45",0,"8,4",14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,0,0,27,1021,0,0,0,0,9893,0,0,185,2410,0,0,0,0
260900,6,31,6,0,0,9,0,0,6,31,6,0,0,9,0,0,"8,15","4,9","1,25","7,85","29,7",0,"4,95",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0
260910,3,3,2,0,0,1,0,0,3,3,2,0,0,1,0,0,"3,5","4,7",0,"2,2","15,65","0,6","1,5",2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0
260915,0,5,8,0,0,3,0,0,0,5,8,0,0,3,0,0,"1,8","5,5",0,"1,1","16,5",0,"0,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0
260920,0,4,7,0,0,2,0,0,0,4,7,0,0,2,0,0,"1,9","1,2",1,"1,2","7,8",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
260930,1,16,7,0,0,10,0,0,1,16,7,0,0,10,0,0,"1,9",3,"1,55","2,15","7,2",0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260940,61,6,0,0,0,0,0,0,61,6,0,0,0,0,0,0,"7,6","6,8",0,"3,25","31,575",0,"5,9",2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13088,0,0,0,0,0,0,0,0
260950,1,10,19,1,0,10,0,0,1,10,19,1,0,10,0,0,"35,45","22,75","0,6","12,05","93,9",0,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2357,0,0,0,0,0,0,0,0,9553,0,0,0,0,0,0,0,0
260960,17,84,28,0,104,12,0,25,53,151,28,0,232,18,81,41,"95,85","77,65","6,65","30,15","242,35","3,5",5,69,2,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817,0,0,60,3907,0,0,0,0,51508,0,0,57,3396,0,0,0,0
260970,4,7,4,0,0,5,0,0,4,7,4,0,0,5,0,0,"3,6","3,4",0,"1,5","6,75",0,"0,1",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0,0,0,0,0,0,0,0,1114,0,0,0,0,0,0,0,0
260980,0,5,3,0,0,3,0,0,0,5,3,0,0,3,0,0,"4,9","2,4","0,1","4,05","6,75","3,8",1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
260990,31,19,17,0,3,18,0,0,37,19,17,0,3,18,0,10,"54,85","27,6",0,"18,55","98,5","0,3","1,8",15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223,0,0,0,0,0,0,0,0,26272,0,0,0,0,0,0,0,0
261000,77,57,50,7,21,38,0,30,77,59,50,9,50,38,6,50,"89,1","37,75","1,575","43,825","210,4","3,6",17,43,1,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851,0,0,132,652,0,202,399,0,31541,0,0,1704,5993,0,543,2280,0
261010,0,6,2,0,0,2,0,0,0,6,2,0,0,2,0,0,"2,6",3,"0,5","1,6","8,4",0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0
261020,5,11,4,0,0,6,0,0,5,11,4,0,0,6,0,0,"4,75","5,7",0,2,"10,65",0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0
261030,0,13,4,0,0,3,0,0,0,13,4,0,0,3,0,0,3,"4,2",0,"1,4",9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,0,0,0,0,0,0,0,0,917,0,0,0,0,0,0,0,0
261040,4,15,3,0,0,7,0,0,4,15,3,0,0,7,0,0,6,"4,8",0,"1,5","17,35",0,"0,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0
261050,3,10,10,0,0,2,0,0,3,10,10,0,0,2,0,0,"3,7","3,8",0,"1,35","22,7",0,"0,75",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0
261060,24,38,8,2,0,23,0,0,24,38,8,2,0,23,0,0,"3,6","1,8",0,"0,5","7,2",0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
261070,120,176,25,3,71,15,0,60,146,205,73,3,71,15,3,85,"171,45","140,9",0,"72,45","460,275",1,"17,9",99,3,101,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117,0,0,312,4812,0,0,0,0,69284,1,0,6497,12526,0,0,0,0
261080,2,9,7,1,0,5,0,0,2,9,7,1,0,5,0,0,"2,15","7,4",0,"0,5","20,3",0,"0,5",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0
261090,10,56,32,0,0,27,0,0,16,76,48,0,0,27,0,0,"17,85","17,9",0,"11,75","60,4",0,"3,9",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,0,0,0,0,0,0,0,0,5917,0,0,0,0,0,0,0,0
261100,25,28,37,2,8,21,0,0,25,28,37,2,8,21,0,0,"14,55","9,4","2,5","13,95","64,6",0,"5,2",1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,0,0,0,0,0,0,0,0,11247,0,0,0,0,0,0,0,0
261110,112,134,74,0,8,84,35,51,192,223,117,1,18,124,35,99,"426,975","345,425","4,3","147,925","843,25",0,"31,25",123,7,127,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4749,0,0,69,53,0,135,66,0,100792,50,0,10336,5408,0,1566,2012,0
261120,0,4,8,0,0,2,0,0,0,4,8,0,0,2,0,0,"1,8","4,5",0,1,"9,55","0,6",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
261130,4,9,5,0,0,3,0,0,4,9,5,0,0,3,0,0,"5,15","4,45",0,4,"21,05",0,"4,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0
261140,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,"4,8","1,8",0,"1,2","8,85",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261150,6,24,12,0,0,8,0,0,6,24,12,0,0,8,0,0,5,"3,6",0,0,17,"0,6",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0
261160,2165,2008,619,58,389,849,167,644,2993,2958,933,79,627,1040,212,1340,"6066,775","3677,325","109,65","2566,525","11194,875","147,25","645,85",1579,29,1681,29,15,50,1,4,56,197,2,7,0,1,8,27,672,6132,54,442,2511,20561,92,843,7,61,345,2827,8075,6969,527,356,21662,11274,1110,958,72,49,2979,1550,87994,62,925,2088,5346,0,1110,3261,97,1454953,3321,24046,93443,91550,0,19081,37531,8419
261170,10,12,5,1,0,3,0,0,10,12,5,1,0,3,0,0,"7,5","4,8",0,"0,7","6,25","1,2","2,575",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0
261180,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,"4,2","5,35",0,0,"5,4",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
261190,0,12,2,0,0,2,0,0,0,12,2,0,0,2,0,0,"4,4","3,85",0,"2,4","16,5",0,"2,4",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261200,4,8,3,0,0,5,0,0,4,8,3,0,0,5,0,0,"4,3","4,2","0,6","2,55","10,2",0,"1,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0
261210,0,4,0,0,0,1,0,0,0,4,0,0,0,1,0,0,"4,9","1,2",0,"1,6","9,55",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261220,31,50,27,1,0,59,5,10,35,82,45,1,0,70,5,11,"77,15","58,85","6,9","37,5","203,05",0,"8,5",4,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3969,0,0,6,157,0,0,0,0,28335,0,529,279,3481,0,0,0,0
261230,3,11,3,0,0,2,0,0,3,11,3,0,0,2,0,0,"3,9","3,7",0,"0,95","15,6","1,8","1,25",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0
261240,0,5,4,0,0,5,0,0,0,5,4,0,0,5,0,0,"6,6","5,3","0,95","0,5","16,35",0,"0,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0
261245,0,18,3,1,0,3,0,0,0,18,3,1,0,3,0,0,"4,5","5,1","0,5",1,"13,2",0,"1,8",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,0,0,0,0,0,0,0,0,1451,0,0,0,0,0,0,0,0
261247,2,6,4,1,0,3,0,0,2,6,4,1,0,3,0,0,"4,2","1,8",1,"2,75","11,6",0,"1,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
261250,6,16,12,0,16,20,0,0,6,22,12,0,16,20,0,0,5,"9,6",0,"0,75","29,8",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,0,0
261255,0,10,2,1,0,5,0,0,0,10,2,1,0,5,0,0,"4,1","2,2",0,1,"5,2",0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0
