,males,females
0,2435,2291
1-4,9548,9403
5-9,13301,12793
10-14,15884,15546
15-19,16545,16421
20-24,19048,19689
25-29,20347,21928
30-34,19071,20713
35-39,16506,18506
40-44,15833,18303
45-49,16509,19458
50-54,15432,18829
55-59,12854,16744
60-64,10356,13845
65-69,7628,10776
70-74,5909,9041
75-79,4279,7325
80-84,2618,5476
85-89,1188,2970
90-94,446,1218
95-99,88,375
100+,13,74
