,males,females
0,74,55
1-4,332,300
5-9,416,390
10-14,473,428
15-19,495,436
20-24,478,448
25-29,492,423
30-34,454,399
35-39,438,409
40-44,442,402
45-49,383,326
50-54,315,279
55-59,262,245
60-64,189,176
65-69,130,159
70-74,116,131
75-79,90,98
80-84,59,48
85-89,25,24
90-94,7,13
95-99,3,3
100+,1,3
