,males,females
0,127.0,116
1-4,616.0,543
5-9,937.0,836
10-14,1067.0,1009
15-19,991.0,899
20-24,910.0,907
25-29,899.0,985
30-34,940.0,924
35-39,940.0,877
40-44,859.0,832
45-49,711.0,682
50-54,566.0,609
55-59,519.0,499
60-64,469.0,349
65-69,302.0,306
70-74,228.0,237
75-79,166.0,148
80-84,86.0,81
85-89,40.0,29
90-94,14.0,17
95-99,4.0,4
100+,,3
