,males,females
0,155,131
1-4,608,639
5-9,801,830
10-14,1028,923
15-19,964,894
20-24,1056,929
25-29,1072,970
30-34,996,945
35-39,872,822
40-44,847,785
45-49,884,818
50-54,754,744
55-59,554,552
60-64,422,413
65-69,327,314
70-74,221,275
75-79,148,193
80-84,88,111
85-89,44,47
90-94,14,17
95-99,2,6
100+,1,2
