,males,females
0,37.0,38.0
1-4,131.0,122.0
5-9,160.0,195.0
10-14,199.0,211.0
15-19,240.0,257.0
20-24,226.0,214.0
25-29,266.0,218.0
30-34,218.0,199.0
35-39,179.0,200.0
40-44,245.0,222.0
45-49,237.0,225.0
50-54,236.0,215.0
55-59,196.0,186.0
60-64,134.0,144.0
65-69,113.0,104.0
70-74,79.0,106.0
75-79,59.0,82.0
80-84,23.0,42.0
85-89,14.0,21.0
90-94,4.0,13.0
95-99,,1.0
100+,,
