,males,females
0,57.0,59.0
1-4,248.0,230.0
5-9,356.0,311.0
10-14,412.0,420.0
15-19,437.0,464.0
20-24,435.0,475.0
25-29,407.0,393.0
30-34,376.0,345.0
35-39,311.0,316.0
40-44,331.0,297.0
45-49,296.0,274.0
50-54,261.0,253.0
55-59,216.0,220.0
60-64,207.0,136.0
65-69,128.0,112.0
70-74,102.0,106.0
75-79,57.0,64.0
80-84,43.0,33.0
85-89,16.0,23.0
90-94,7.0,4.0
95-99,,
100+,,
