,males,females
0,59.0,59.0
1-4,207.0,191.0
5-9,342.0,360.0
10-14,374.0,327.0
15-19,373.0,288.0
20-24,266.0,240.0
25-29,252.0,282.0
30-34,269.0,276.0
35-39,255.0,267.0
40-44,245.0,257.0
45-49,246.0,217.0
50-54,202.0,189.0
55-59,168.0,166.0
60-64,125.0,111.0
65-69,78.0,88.0
70-74,83.0,66.0
75-79,79.0,72.0
80-84,26.0,39.0
85-89,27.0,23.0
90-94,17.0,12.0
95-99,6.0,5.0
100+,,
