,males,females
0,181,179.0
1-4,706,733.0
5-9,908,798.0
10-14,1132,927.0
15-19,961,910.0
20-24,894,815.0
25-29,959,794.0
30-34,865,815.0
35-39,865,706.0
40-44,713,558.0
45-49,577,414.0
50-54,416,318.0
55-59,318,243.0
60-64,243,126.0
65-69,142,98.0
70-74,88,71.0
75-79,56,41.0
80-84,35,19.0
85-89,14,10.0
90-94,2,2.0
95-99,1,2.0
100+,1,
