,males,females
0,1591,1517
1-4,6183,5956
5-9,7610,7156
10-14,8501,8015
15-19,8919,8982
20-24,9599,9265
25-29,9511,9096
30-34,8951,9060
35-39,7908,7990
40-44,7090,7332
45-49,5955,6092
50-54,4819,4913
55-59,3695,3693
60-64,2683,2808
65-69,1926,2049
70-74,1462,1473
75-79,894,903
80-84,504,550
85-89,268,261
90-94,95,108
95-99,22,51
100+,11,9
