,males,females
0,2033,2007
1-4,8508,8418
5-9,11801,11297
10-14,13536,12943
15-19,13893,13401
20-24,14391,14226
25-29,13430,13701
30-34,12243,12977
35-39,11498,12268
40-44,11295,12074
45-49,10683,11329
50-54,9024,9989
55-59,7203,8093
60-64,5570,6577
65-69,3886,4672
70-74,2920,3604
75-79,1843,2655
80-84,1043,1730
85-89,458,767
90-94,166,347
95-99,31,87
100+,9,14
