,males,females
0,426,378
1-4,1594,1605
5-9,2221,2089
10-14,2385,2390
15-19,2156,2104
20-24,1871,1846
25-29,1787,1826
30-34,1649,1729
35-39,1465,1640
40-44,1355,1390
45-49,1167,1181
50-54,856,980
55-59,750,794
60-64,517,566
65-69,393,447
70-74,272,292
75-79,167,207
80-84,86,145
85-89,38,68
90-94,20,20
95-99,6,5
100+,2,3
