,males,females
0,214,209
1-4,773,803
5-9,1091,976
10-14,1219,1180
15-19,1166,1154
20-24,963,989
25-29,888,925
30-34,806,795
35-39,581,637
40-44,616,613
45-49,520,511
50-54,406,447
55-59,330,400
60-64,307,326
65-69,264,275
70-74,167,205
75-79,114,162
80-84,71,86
85-89,44,45
90-94,11,15
95-99,9,4
100+,1,3
