,males,females
0,6.0,12.0
1-4,36.0,35.0
5-9,58.0,56.0
10-14,73.0,59.0
15-19,96.0,68.0
20-24,46.0,46.0
25-29,50.0,50.0
30-34,47.0,49.0
35-39,59.0,57.0
40-44,60.0,43.0
45-49,73.0,53.0
50-54,45.0,62.0
55-59,57.0,41.0
60-64,44.0,40.0
65-69,31.0,37.0
70-74,24.0,29.0
75-79,10.0,12.0
80-84,8.0,5.0
85-89,4.0,5.0
90-94,,2.0
95-99,,
100+,,
