,males,females
0,55.0,63
1-4,223.0,182
5-9,282.0,255
10-14,312.0,348
15-19,364.0,348
20-24,354.0,389
25-29,381.0,349
30-34,330.0,315
35-39,301.0,325
40-44,313.0,304
45-49,296.0,302
50-54,224.0,244
55-59,194.0,216
60-64,178.0,188
65-69,127.0,118
70-74,108.0,125
75-79,79.0,74
80-84,40.0,38
85-89,18.0,23
90-94,10.0,7
95-99,1.0,1
100+,,1
