,males,females
0,104.0,85.0
1-4,397.0,386.0
5-9,599.0,585.0
10-14,748.0,709.0
15-19,734.0,643.0
20-24,715.0,696.0
25-29,701.0,619.0
30-34,665.0,635.0
35-39,617.0,582.0
40-44,594.0,557.0
45-49,494.0,503.0
50-54,487.0,460.0
55-59,400.0,382.0
60-64,377.0,327.0
65-69,299.0,274.0
70-74,250.0,219.0
75-79,140.0,145.0
80-84,79.0,99.0
85-89,47.0,36.0
90-94,5.0,13.0
95-99,2.0,5.0
100+,,
