,males,females
0,23.0,13
1-4,67.0,65
5-9,131.0,107
10-14,131.0,118
15-19,120.0,120
20-24,106.0,108
25-29,117.0,126
30-34,113.0,77
35-39,88.0,68
40-44,82.0,95
45-49,80.0,92
50-54,84.0,66
55-59,47.0,62
60-64,61.0,44
65-69,49.0,46
70-74,30.0,34
75-79,23.0,17
80-84,13.0,14
85-89,8.0,8
90-94,2.0,2
95-99,1.0,1
100+,,1
