,males,females
0,231,242
1-4,1081,990
5-9,1447,1363
10-14,1615,1567
15-19,1414,1333
20-24,1027,1125
25-29,915,900
30-34,770,769
35-39,629,640
40-44,627,640
45-49,552,537
50-54,430,452
55-59,385,423
60-64,382,421
65-69,276,317
70-74,246,243
75-79,124,160
80-84,79,101
85-89,54,75
90-94,32,49
95-99,15,16
100+,1,3
