,males,females
0,133,134
1-4,641,586
5-9,954,909
10-14,1124,1128
15-19,1056,1091
20-24,904,887
25-29,856,939
30-34,899,906
35-39,904,818
40-44,799,859
45-49,841,808
50-54,734,618
55-59,584,671
60-64,478,458
65-69,361,409
70-74,343,362
75-79,254,288
80-84,155,159
85-89,84,77
90-94,21,44
95-99,3,7
100+,1,7
