,males,females
0,12.0,12.0
1-4,73.0,70.0
5-9,88.0,102.0
10-14,110.0,103.0
15-19,124.0,126.0
20-24,129.0,117.0
25-29,107.0,102.0
30-34,115.0,107.0
35-39,106.0,125.0
40-44,126.0,100.0
45-49,116.0,113.0
50-54,93.0,87.0
55-59,71.0,80.0
60-64,72.0,77.0
65-69,58.0,69.0
70-74,48.0,58.0
75-79,37.0,28.0
80-84,19.0,19.0
85-89,9.0,5.0
90-94,1.0,3.0
95-99,3.0,
100+,,
