,males,females
0,41,42
1-4,232,197
5-9,274,289
10-14,330,305
15-19,321,316
20-24,333,351
25-29,324,312
30-34,312,270
35-39,229,254
40-44,236,257
45-49,233,236
50-54,175,207
55-59,161,173
60-64,155,148
65-69,116,109
70-74,92,76
75-79,53,51
80-84,39,40
85-89,18,13
90-94,7,7
95-99,1,3
100+,1,2
