,males,females
0,14.0,17.0
1-4,54.0,52.0
5-9,83.0,92.0
10-14,132.0,115.0
15-19,111.0,98.0
20-24,94.0,86.0
25-29,89.0,87.0
30-34,92.0,98.0
35-39,97.0,83.0
40-44,94.0,86.0
45-49,85.0,87.0
50-54,87.0,78.0
55-59,72.0,56.0
60-64,71.0,67.0
65-69,36.0,50.0
70-74,45.0,35.0
75-79,24.0,21.0
80-84,16.0,9.0
85-89,4.0,7.0
90-94,1.0,3.0
95-99,3.0,2.0
100+,,
