,males,females
0,55,66
1-4,236,217
5-9,320,284
10-14,394,342
15-19,352,340
20-24,363,324
25-29,319,311
30-34,304,340
35-39,372,353
40-44,364,365
45-49,279,303
50-54,269,244
55-59,206,228
60-64,192,239
65-69,190,177
70-74,152,170
75-79,75,98
80-84,39,64
85-89,32,39
90-94,16,13
95-99,4,1
100+,2,1
