,males,females
0,418,429
1-4,1828,1803
5-9,2536,2417
10-14,3090,3026
15-19,2992,2975
20-24,3090,3144
25-29,2963,3217
30-34,2744,3069
35-39,2375,2734
40-44,2596,2863
45-49,2610,3024
50-54,2152,2559
55-59,1619,2034
60-64,1320,1670
65-69,964,1215
70-74,749,896
75-79,523,677
80-84,303,453
85-89,124,224
90-94,45,102
95-99,7,28
100+,1,2
