,males,females
0,419.0,379
1-4,1586.0,1557
5-9,2027.0,2060
10-14,2384.0,2267
15-19,2366.0,2423
20-24,2188.0,2264
25-29,2012.0,2038
30-34,1762.0,1799
35-39,1324.0,1448
40-44,1205.0,1317
45-49,1075.0,1195
50-54,879.0,1034
55-59,755.0,811
60-64,600.0,630
65-69,478.0,485
70-74,389.0,431
75-79,219.0,265
80-84,140.0,190
85-89,99.0,106
90-94,46.0,52
95-99,13.0,12
100+,,2
