,males,females
0,199.0,250.0
1-4,972.0,905.0
5-9,1329.0,1259.0
10-14,1289.0,1365.0
15-19,1296.0,1287.0
20-24,991.0,949.0
25-29,768.0,817.0
30-34,755.0,774.0
35-39,591.0,620.0
40-44,564.0,540.0
45-49,516.0,570.0
50-54,449.0,510.0
55-59,373.0,497.0
60-64,397.0,382.0
65-69,301.0,284.0
70-74,232.0,221.0
75-79,148.0,147.0
80-84,68.0,91.0
85-89,58.0,56.0
90-94,20.0,38.0
95-99,9.0,12.0
100+,,
