,males,females
0,66,69
1-4,307,320
5-9,433,457
10-14,492,458
15-19,522,448
20-24,552,516
25-29,553,528
30-34,532,477
35-39,490,460
40-44,436,430
45-49,411,392
50-54,334,310
55-59,318,254
60-64,209,205
65-69,152,172
70-74,125,132
75-79,86,82
80-84,45,49
85-89,14,23
90-94,11,9
95-99,1,2
100+,2,1
