,males,females
0,140,122
1-4,587,488
5-9,754,717
10-14,893,847
15-19,837,768
20-24,652,636
25-29,650,660
30-34,655,685
35-39,592,574
40-44,592,559
45-49,537,539
50-54,449,445
55-59,410,386
60-64,322,298
65-69,258,248
70-74,178,164
75-79,147,137
80-84,72,88
85-89,27,43
90-94,20,21
95-99,4,4
100+,1,2
