,males,females
0,11.0,10.0
1-4,48.0,54.0
5-9,60.0,67.0
10-14,78.0,66.0
15-19,75.0,70.0
20-24,89.0,69.0
25-29,63.0,79.0
30-34,67.0,73.0
35-39,53.0,71.0
40-44,70.0,82.0
45-49,59.0,83.0
50-54,73.0,60.0
55-59,55.0,46.0
60-64,37.0,39.0
65-69,37.0,43.0
70-74,40.0,39.0
75-79,27.0,23.0
80-84,15.0,22.0
85-89,5.0,7.0
90-94,1.0,3.0
95-99,,
100+,,1.0
