,males,females
0,103,87.0
1-4,354,245.0
5-9,392,388.0
10-14,519,519.0
15-19,548,525.0
20-24,493,424.0
25-29,439,425.0
30-34,365,423.0
35-39,383,398.0
40-44,373,370.0
45-49,325,324.0
50-54,271,243.0
55-59,194,200.0
60-64,154,172.0
65-69,113,129.0
70-74,109,94.0
75-79,64,57.0
80-84,34,44.0
85-89,10,12.0
90-94,1,5.0
95-99,3,
100+,1,
