,males,females
0,778,846
1-4,2964,2909
5-9,4129,4027
10-14,5032,4899
15-19,5415,5435
20-24,5788,5704
25-29,5353,5393
30-34,4751,4961
35-39,4474,4733
40-44,4393,4823
45-49,4194,4543
50-54,3219,3455
55-59,2500,2620
60-64,1802,2012
65-69,1268,1635
70-74,992,1183
75-79,709,883
80-84,369,578
85-89,155,231
90-94,43,86
95-99,6,18
100+,3,2
