,males,females
0,414,449
1-4,1972,1926
5-9,2795,2617
10-14,3376,3397
15-19,3077,2843
20-24,2443,2259
25-29,2092,1937
30-34,1907,1802
35-39,1633,1552
40-44,1412,1346
45-49,1161,1200
50-54,906,922
55-59,915,904
60-64,819,813
65-69,642,699
70-74,486,485
75-79,318,350
80-84,169,196
85-89,114,144
90-94,41,66
95-99,14,22
100+,8,2
