,males,females
0,2443,2156
1-4,9507,9245
5-9,13262,12792
10-14,13917,13446
15-19,13453,14320
20-24,14266,15230
25-29,13968,15272
30-34,12592,13679
35-39,10704,11679
40-44,9838,10978
45-49,8445,9397
50-54,6905,7512
55-59,5058,6209
60-64,4229,5050
65-69,3249,4064
70-74,2589,3184
75-79,1559,2042
80-84,1080,1403
85-89,503,728
90-94,215,384
95-99,72,167
100+,25,50
