,males,females
0,38.0,40.0
1-4,162.0,158.0
5-9,257.0,212.0
10-14,281.0,291.0
15-19,323.0,299.0
20-24,328.0,294.0
25-29,268.0,268.0
30-34,271.0,246.0
35-39,259.0,266.0
40-44,294.0,255.0
45-49,295.0,260.0
50-54,242.0,212.0
55-59,200.0,217.0
60-64,166.0,165.0
65-69,113.0,134.0
70-74,69.0,90.0
75-79,64.0,74.0
80-84,21.0,45.0
85-89,11.0,21.0
90-94,3.0,6.0
95-99,,2.0
100+,,
