,males,females
0,28.0,29.0
1-4,124.0,98.0
5-9,174.0,165.0
10-14,203.0,171.0
15-19,164.0,179.0
20-24,145.0,159.0
25-29,152.0,144.0
30-34,149.0,153.0
35-39,139.0,116.0
40-44,133.0,135.0
45-49,123.0,113.0
50-54,106.0,121.0
55-59,78.0,73.0
60-64,78.0,68.0
65-69,60.0,56.0
70-74,39.0,54.0
75-79,42.0,28.0
80-84,16.0,17.0
85-89,4.0,9.0
90-94,,8.0
95-99,1.0,1.0
100+,,
