,males,females
0,1071,1010
1-4,4731,4485
5-9,6147,5939
10-14,6830,6452
15-19,7002,7024
20-24,6910,7215
25-29,6848,7422
30-34,6251,6599
35-39,5072,5483
40-44,4656,5020
45-49,4147,4427
50-54,3606,4070
55-59,2894,3254
60-64,2031,2657
65-69,1690,2153
70-74,1408,1704
75-79,994,1363
80-84,664,981
85-89,371,542
90-94,193,287
95-99,69,140
100+,27,56
