,males,females
0,13.0,11.0
1-4,64.0,62.0
5-9,72.0,73.0
10-14,86.0,86.0
15-19,91.0,72.0
20-24,94.0,87.0
25-29,97.0,115.0
30-34,89.0,77.0
35-39,81.0,97.0
40-44,87.0,75.0
45-49,88.0,87.0
50-54,78.0,66.0
55-59,63.0,64.0
60-64,43.0,46.0
65-69,45.0,52.0
70-74,39.0,41.0
75-79,23.0,22.0
80-84,14.0,17.0
85-89,3.0,9.0
90-94,2.0,2.0
95-99,1.0,1.0
100+,,
