,males,females
0,707,694
1-4,2725,2549
5-9,3349,3173
10-14,3965,3673
15-19,4587,4503
20-24,5616,5380
25-29,5567,5291
30-34,4576,4582
35-39,4075,4293
40-44,3966,4026
45-49,3835,3968
50-54,3068,3121
55-59,2305,2396
60-64,1572,1807
65-69,941,1137
70-74,675,941
75-79,433,708
80-84,276,482
85-89,130,268
90-94,26,97
95-99,5,8
100+,1,6
