,males,females
0,24.0,24.0
1-4,92.0,79.0
5-9,100.0,127.0
10-14,139.0,144.0
15-19,135.0,121.0
20-24,144.0,142.0
25-29,148.0,120.0
30-34,97.0,131.0
35-39,106.0,101.0
40-44,107.0,87.0
45-49,83.0,82.0
50-54,61.0,48.0
55-59,44.0,62.0
60-64,51.0,52.0
65-69,32.0,34.0
70-74,39.0,27.0
75-79,12.0,25.0
80-84,11.0,22.0
85-89,8.0,10.0
90-94,3.0,2.0
95-99,,3.0
100+,,
