,males,females
0,1993,1870
1-4,8589,8313
5-9,10606,10261
10-14,11708,11288
15-19,11820,11766
20-24,12282,12784
25-29,12095,12559
30-34,11626,11942
35-39,9889,10255
40-44,8710,8901
45-49,7263,7370
50-54,5720,6096
55-59,4391,4469
60-64,3131,3377
65-69,2196,2321
70-74,1505,1589
75-79,914,1035
80-84,494,623
85-89,200,296
90-94,111,126
95-99,18,71
100+,6,17
