,males,females
0,114,110
1-4,522,430
5-9,673,669
10-14,752,715
15-19,760,718
20-24,709,644
25-29,569,606
30-34,506,528
35-39,439,435
40-44,417,460
45-49,369,398
50-54,287,342
55-59,279,333
60-64,270,287
65-69,223,247
70-74,158,236
75-79,112,165
80-84,101,123
85-89,50,80
90-94,28,33
95-99,7,27
100+,1,4
