,males,females
0,102,84
1-4,531,512
5-9,682,670
10-14,829,757
15-19,719,672
20-24,617,614
25-29,604,612
30-34,489,473
35-39,394,365
40-44,378,308
45-49,278,290
50-54,249,280
55-59,230,205
60-64,169,162
65-69,146,143
70-74,110,116
75-79,83,92
80-84,41,49
85-89,18,28
90-94,12,9
95-99,4,7
100+,2,2
