,males,females
0,256.0,227.0
1-4,1112.0,1062.0
5-9,1603.0,1391.0
10-14,1590.0,1431.0
15-19,1540.0,1436.0
20-24,1485.0,1213.0
25-29,1333.0,1158.0
30-34,1200.0,1006.0
35-39,979.0,793.0
40-44,912.0,710.0
45-49,782.0,557.0
50-54,622.0,456.0
55-59,486.0,351.0
60-64,341.0,236.0
65-69,272.0,176.0
70-74,178.0,105.0
75-79,106.0,66.0
80-84,63.0,38.0
85-89,20.0,21.0
90-94,7.0,5.0
95-99,1.0,2.0
100+,,
