,males,females
0,66,55.0
1-4,237,237.0
5-9,309,300.0
10-14,492,455.0
15-19,489,477.0
20-24,426,406.0
25-29,424,336.0
30-34,353,320.0
35-39,345,284.0
40-44,310,274.0
45-49,241,250.0
50-54,232,186.0
55-59,174,186.0
60-64,167,147.0
65-69,125,142.0
70-74,108,116.0
75-79,76,66.0
80-84,40,38.0
85-89,33,21.0
90-94,10,11.0
95-99,2,6.0
100+,1,
