,males,females
0,24.0,21.0
1-4,129.0,111.0
5-9,139.0,156.0
10-14,175.0,162.0
15-19,184.0,154.0
20-24,185.0,183.0
25-29,155.0,157.0
30-34,146.0,136.0
35-39,141.0,142.0
40-44,152.0,141.0
45-49,157.0,144.0
50-54,129.0,117.0
55-59,110.0,106.0
60-64,98.0,94.0
65-69,81.0,67.0
70-74,47.0,53.0
75-79,51.0,56.0
80-84,23.0,18.0
85-89,9.0,6.0
90-94,2.0,1.0
95-99,,1.0
100+,,
