,males,females
0,36.0,55
1-4,217.0,252
5-9,284.0,284
10-14,319.0,259
15-19,302.0,273
20-24,242.0,238
25-29,208.0,197
30-34,186.0,165
35-39,164.0,137
40-44,135.0,135
45-49,146.0,98
50-54,114.0,94
55-59,117.0,82
60-64,61.0,71
65-69,68.0,68
70-74,50.0,49
75-79,34.0,32
80-84,34.0,18
85-89,13.0,11
90-94,6.0,4
95-99,2.0,4
100+,,1
