,males,females
0,108,114
1-4,518,482
5-9,757,757
10-14,862,880
15-19,860,847
20-24,733,732
25-29,705,692
30-34,620,662
35-39,537,605
40-44,524,592
45-49,449,464
50-54,336,392
55-59,321,363
60-64,261,309
65-69,234,261
70-74,185,267
75-79,152,159
80-84,97,106
85-89,48,63
90-94,10,27
95-99,3,5
100+,2,3
