,males,females
0,30.0,52.0
1-4,168.0,145.0
5-9,216.0,168.0
10-14,260.0,266.0
15-19,293.0,270.0
20-24,306.0,275.0
25-29,283.0,231.0
30-34,227.0,219.0
35-39,237.0,189.0
40-44,245.0,247.0
45-49,238.0,229.0
50-54,205.0,166.0
55-59,172.0,166.0
60-64,129.0,115.0
65-69,92.0,89.0
70-74,61.0,64.0
75-79,33.0,39.0
80-84,20.0,39.0
85-89,15.0,12.0
90-94,4.0,5.0
95-99,1.0,2.0
100+,,
