,males,females
0,125,127
1-4,657,618
5-9,893,857
10-14,957,949
15-19,836,806
20-24,789,870
25-29,710,743
30-34,683,683
35-39,573,612
40-44,540,490
45-49,430,429
50-54,309,365
55-59,288,303
60-64,340,288
65-69,212,228
70-74,172,172
75-79,84,140
80-84,81,74
85-89,51,55
90-94,17,15
95-99,1,6
100+,2,6
