,males,females
0,13.0,16
1-4,71.0,69
5-9,106.0,96
10-14,109.0,109
15-19,113.0,125
20-24,84.0,98
25-29,93.0,101
30-34,91.0,75
35-39,77.0,77
40-44,75.0,76
45-49,87.0,65
50-54,47.0,60
55-59,46.0,45
60-64,57.0,50
65-69,39.0,37
70-74,30.0,44
75-79,28.0,26
80-84,28.0,22
85-89,14.0,9
90-94,1.0,3
95-99,3.0,4
100+,,1
