,males,females
0,110,114
1-4,477,459
5-9,617,564
10-14,600,586
15-19,573,515
20-24,425,381
25-29,422,345
30-34,298,332
35-39,297,205
40-44,211,182
45-49,203,173
50-54,143,133
55-59,117,116
60-64,101,90
65-69,90,78
70-74,65,54
75-79,35,36
80-84,25,22
85-89,20,11
90-94,5,3
95-99,3,2
100+,2,1
