,males,females
0,72.0,50
1-4,219.0,221
5-9,322.0,301
10-14,373.0,338
15-19,350.0,342
20-24,299.0,318
25-29,290.0,280
30-34,286.0,270
35-39,213.0,239
40-44,252.0,235
45-49,230.0,262
50-54,208.0,213
55-59,192.0,177
60-64,150.0,135
65-69,103.0,115
70-74,107.0,87
75-79,65.0,75
80-84,48.0,45
85-89,19.0,16
90-94,3.0,13
95-99,2.0,5
100+,,2
