,males,females
0,80.0,83.0
1-4,340.0,350.0
5-9,529.0,498.0
10-14,558.0,565.0
15-19,489.0,468.0
20-24,410.0,360.0
25-29,444.0,431.0
30-34,460.0,446.0
35-39,430.0,380.0
40-44,375.0,329.0
45-49,340.0,307.0
50-54,339.0,265.0
55-59,242.0,192.0
60-64,188.0,125.0
65-69,128.0,86.0
70-74,81.0,68.0
75-79,62.0,53.0
80-84,37.0,40.0
85-89,18.0,12.0
90-94,9.0,2.0
95-99,3.0,3.0
100+,,
