,males,females
0,150,122.0
1-4,558,485.0
5-9,740,639.0
10-14,755,744.0
15-19,698,670.0
20-24,803,704.0
25-29,860,710.0
30-34,708,691.0
35-39,602,541.0
40-44,544,493.0
45-49,465,397.0
50-54,359,287.0
55-59,215,180.0
60-64,131,110.0
65-69,108,90.0
70-74,64,63.0
75-79,51,38.0
80-84,17,21.0
85-89,3,9.0
90-94,3,2.0
95-99,1,1.0
100+,1,
