,males,females
0,151,159
1-4,728,733
5-9,894,934
10-14,1043,992
15-19,905,923
20-24,782,748
25-29,693,694
30-34,672,619
35-39,457,503
40-44,456,434
45-49,425,445
50-54,341,391
55-59,284,358
60-64,257,241
65-69,219,200
70-74,159,174
75-79,100,130
80-84,56,87
85-89,44,59
90-94,22,35
95-99,3,9
100+,2,1
