,males,females
0,84,99
1-4,489,397
5-9,607,615
10-14,756,702
15-19,632,617
20-24,545,558
25-29,547,524
30-34,452,463
35-39,388,409
40-44,349,368
45-49,316,334
50-54,246,301
55-59,197,262
60-64,219,237
65-69,225,216
70-74,159,163
75-79,94,109
80-84,77,83
85-89,56,47
90-94,24,33
95-99,10,7
100+,2,3
