,males,females
0,41,24
1-4,121,151
5-9,199,198
10-14,227,198
15-19,215,207
20-24,174,168
25-29,177,180
30-34,175,185
35-39,196,178
40-44,206,192
45-49,186,166
50-54,164,134
55-59,112,95
60-64,106,103
65-69,117,81
70-74,77,76
75-79,51,46
80-84,40,22
85-89,13,17
90-94,3,9
95-99,3,1
100+,1,1
