,males,females
0,14.0,14.0
1-4,87.0,51.0
5-9,94.0,94.0
10-14,110.0,112.0
15-19,113.0,108.0
20-24,96.0,100.0
25-29,82.0,93.0
30-34,74.0,85.0
35-39,81.0,87.0
40-44,95.0,95.0
45-49,97.0,102.0
50-54,78.0,65.0
55-59,56.0,57.0
60-64,42.0,43.0
65-69,52.0,35.0
70-74,35.0,31.0
75-79,25.0,36.0
80-84,11.0,17.0
85-89,8.0,8.0
90-94,4.0,2.0
95-99,1.0,3.0
100+,,
