,males,females
0,156,147
1-4,647,620
5-9,925,935
10-14,1092,997
15-19,1161,1087
20-24,951,931
25-29,942,928
30-34,824,844
35-39,759,819
40-44,782,760
45-49,718,721
50-54,622,621
55-59,496,488
60-64,383,368
65-69,303,245
70-74,216,231
75-79,171,120
80-84,109,88
85-89,34,40
90-94,14,11
95-99,2,8
100+,2,1
