,males,females
0,104,104
1-4,384,425
5-9,641,573
10-14,730,667
15-19,780,750
20-24,763,706
25-29,662,653
30-34,669,648
35-39,604,686
40-44,646,669
45-49,625,624
50-54,512,553
55-59,459,454
60-64,382,369
65-69,278,315
70-74,205,226
75-79,141,162
80-84,88,110
85-89,33,42
90-94,7,27
95-99,2,6
100+,1,1
