,males,females
0,2942,2844
1-4,11758,11324
5-9,15505,15105
10-14,18321,18173
15-19,17740,17726
20-24,20267,20386
25-29,20089,20723
30-34,18311,18860
35-39,15971,17070
40-44,15202,15870
45-49,12945,14409
50-54,11071,12073
55-59,8591,9280
60-64,5956,6735
65-69,3787,4633
70-74,2738,3431
75-79,1591,2147
80-84,831,1342
85-89,318,557
90-94,133,214
95-99,21,61
100+,5,8
