,males,females
0,142,122
1-4,486,511
5-9,683,674
10-14,772,723
15-19,669,664
20-24,567,577
25-29,529,524
30-34,506,458
35-39,420,412
40-44,398,331
45-49,304,278
50-54,264,283
55-59,231,230
60-64,223,245
65-69,187,201
70-74,158,161
75-79,72,77
80-84,72,57
85-89,47,48
90-94,19,27
95-99,8,8
100+,2,1
