,males,females
0,18,17.0
1-4,76,62.0
5-9,82,87.0
10-14,121,136.0
15-19,168,175.0
20-24,136,117.0
25-29,116,129.0
30-34,103,107.0
35-39,108,110.0
40-44,133,149.0
45-49,145,145.0
50-54,144,141.0
55-59,123,120.0
60-64,96,110.0
65-69,82,79.0
70-74,59,56.0
75-79,27,55.0
80-84,31,33.0
85-89,7,19.0
90-94,3,2.0
95-99,2,3.0
100+,1,
